path,total_conversions,total_null,total_conversion_value
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Organic Search,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Organic Search,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Paid Search,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Paid Search > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Referral,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Direct > Referral > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Organic Search,0.0,2.0,0
Direct > Direct > Direct > Direct > Direct > Organic Search > Referral,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Organic Search > Referral > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral,0.0,2.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Display,1.0,1.0,0
Direct > Direct > Direct > Direct > Display > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search,1.0,3.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct,0.0,2.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct,4.0,0.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,1.0,0.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Direct > Referral,0.0,2.0,0
Direct > Direct > Direct > Display,0.0,1.0,0
Direct > Direct > Direct > Display > Display,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral > Direct > Direct > Display,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral > Direct > Direct > Display > Direct,0.0,1.0,0
Direct > Direct > Direct > Display > Display > Direct > Direct > Direct > Referral > Referral > Direct > Direct > Display > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search,0.0,8.0,0
Direct > Direct > Direct > Organic Search > Direct,0.0,2.0,0
Direct > Direct > Direct > Organic Search > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Organic Search,0.0,2.0,0
Direct > Direct > Direct > Organic Search > Organic Search > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral,0.0,2.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct,0.0,2.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral > Direct > Direct,0.0,1.0,0
